rental_id,duration,duration_ms,bike_id,bike_model,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
58044971,780,780000,13310,,2016-09-06 09:01:00.000000 UTC,,"Clifton Street, Shoreditch",2016-09-06 08:48:00.000000 UTC,,"Duke Street Hill, London Bridge",3501,300083,0
57945608,780,780000,6378,,2016-09-02 18:37:00.000000 UTC,,"Strata, Elephant & Castle",2016-09-02 18:24:00.000000 UTC,,"Archbishop's Park, Waterloo",10624,300025,0
57902699,780,780000,14106,,2016-09-01 17:54:00.000000 UTC,,"Endsleigh Gardens, Euston",2016-09-01 17:41:00.000000 UTC,,"Bath Street, St. Luke's",1079,964,1
57868845,780,780000,2651,,2016-08-31 19:29:00.000000 UTC,,"Liverpool Road (N1 Centre), Angel",2016-08-31 19:16:00.000000 UTC,,"Northington Street , Holborn",1081,3425,1
57996027,780,780000,12505,,2016-09-04 16:46:00.000000 UTC,,"Central House, Aldgate",2016-09-04 16:33:00.000000 UTC,,"Regent's Row , Haggerston",3430,200064,0
57875387,780,780000,12106,,2016-09-01 01:36:00.000000 UTC,,"Bermondsey Street, Bermondsey",2016-09-01 01:23:00.000000 UTC,,"Tavistock Street, Covent Garden",2637,1207,0
58060008,780,780000,9259,,2016-09-06 17:20:00.000000 UTC,,"Chadwell Street, Angel",2016-09-06 17:07:00.000000 UTC,,"Golden Lane, Barbican",3471,967,0
58054056,780,780000,6691,,2016-09-06 14:25:00.000000 UTC,,"Black Lion Gate, Kensington Gardens",2016-09-06 14:12:00.000000 UTC,,"De Vere Gardens, Kensington",1157,3446,1
57953492,780,780000,5439,,2016-09-03 01:19:00.000000 UTC,,"Wendon Street, Old Ford",2016-09-03 01:06:00.000000 UTC,,"Regent's Row , Haggerston",300039,200064,0
57895144,780,780000,14220,,2016-09-01 15:21:00.000000 UTC,,"Broadwick Street, Soho",2016-09-01 15:08:00.000000 UTC,,"Southampton Street, Strand",3489,1228,0
57834114,69900,69900000,4510,,2016-08-31 19:26:00.000000 UTC,,"Long Lane , Bermondsey",2016-08-31 00:01:00.000000 UTC,,"Bermondsey Street, Bermondsey",1189,2637,0
57933971,3600,3600000,2662,,2016-09-02 14:57:00.000000 UTC,,"Victoria Park Road, Hackney Central",2016-09-02 13:57:00.000000 UTC,,"Queen Mary's, Mile End",300011,200249,0
57963998,3600,3600000,10191,,2016-09-03 13:51:00.000000 UTC,,"Earnshaw Street , Covent Garden",2016-09-03 12:51:00.000000 UTC,,"Shoreditch High Street, Shoreditch",1145,3445,0
58066469,3600,3600000,1310,,2016-09-06 19:24:00.000000 UTC,,"Warwick Road, Olympia",2016-09-06 18:24:00.000000 UTC,,"Crosswall, Tower",1134,991,0
57863554,2580,2580000,11463,,2016-08-31 18:50:00.000000 UTC,,"Grenfell Road, Avondale",2016-08-31 18:07:00.000000 UTC,,"Russell Square Station, Bloomsbury",300067,978,0
57871485,2580,2580000,11472,,2016-08-31 21:08:00.000000 UTC,,"Albert Gate, Hyde Park",2016-08-31 20:25:00.000000 UTC,,"Albert Gate, Hyde Park",1132,1132,1
57951159,2580,2580000,2199,,2016-09-02 22:33:00.000000 UTC,,"Dock Street, Wapping",2016-09-02 21:50:00.000000 UTC,,"Finsbury Circus, Liverpool Street",3467,984,0
57907325,2580,2580000,135,,2016-09-01 19:15:00.000000 UTC,,"Tavistock Street, Covent Garden",2016-09-01 18:32:00.000000 UTC,,"Melton Street, Euston",1207,300203,1
57901510,6420,6420000,9561,,2016-09-01 19:14:00.000000 UTC,,"Ormonde Gate, Chelsea",2016-09-01 17:27:00.000000 UTC,,"Prince of Wales Drive, Battersea Park",300089,300073,0
58004676,6420,6420000,12478,,2016-09-04 22:49:00.000000 UTC,,"Bishop's Bridge Road East, Bayswater",2016-09-04 21:02:00.000000 UTC,,"Tallis Street, Temple",200108,300096,0
58001719,6420,6420000,11815,,2016-09-04 20:51:00.000000 UTC,,"Waterloo Station 3, Waterloo",2016-09-04 19:04:00.000000 UTC,,"The Guildhall, Guildhall",1072,1044,1
57858393,10260,10260000,7542,,2016-08-31 19:54:00.000000 UTC,,"Driffield Road, Old Ford",2016-08-31 17:03:00.000000 UTC,,"Selby Street, Whitechapel",200030,200135,0
58059924,1560,1560000,10494,,2016-09-06 17:32:00.000000 UTC,,"Wellington Road, St. John's Wood",2016-09-06 17:06:00.000000 UTC,,"Kings Gate House, Westminster",1055,300202,0
57846533,1560,1560000,9493,,2016-08-31 10:45:00.000000 UTC,,"Southampton Place, Holborn",2016-08-31 10:19:00.000000 UTC,,"LMU Commercial Road, Whitechapel",1123,1105,0
57972545,1560,1560000,5288,,2016-09-03 16:28:00.000000 UTC,,"Black Prince Road, Vauxhall",2016-09-03 16:02:00.000000 UTC,,"Cleveland Way, Stepney",1205,200250,0
57903123,1560,1560000,9548,,2016-09-01 18:11:00.000000 UTC,,"Hyde Park Corner, Hyde Park",2016-09-01 17:45:00.000000 UTC,,"Hyde Park Corner, Hyde Park",1075,1075,1
57940957,1560,1560000,3306,,2016-09-02 17:36:00.000000 UTC,,"Charles II Street, West End",2016-09-02 17:10:00.000000 UTC,,"Palace Gardens Terrace, Notting Hill",3488,2633,0
58041184,1560,1560000,13748,,2016-09-06 08:30:00.000000 UTC,,"Wells Street, Fitzrovia",2016-09-06 08:04:00.000000 UTC,,"Bricklayers Arms, Borough",3495,1070,0
57935460,1560,1560000,13305,,2016-09-02 15:11:00.000000 UTC,,"Triangle Car Park, Hyde Park",2016-09-02 14:45:00.000000 UTC,,"Triangle Car Park, Hyde Park",1088,1088,1
58038085,1560,1560000,1823,,2016-09-06 07:25:00.000000 UTC,,"Jewry Street, Aldgate",2016-09-06 06:59:00.000000 UTC,,"Lambeth Palace Road, Waterloo",1045,300231,0
57963288,1560,1560000,1630,,2016-09-03 13:03:00.000000 UTC,,"Milroy Walk, South Bank",2016-09-03 12:37:00.000000 UTC,,"Islington Green, Angel",959,300031,0
58064353,1560,1560000,389,,2016-09-06 18:27:00.000000 UTC,,"Ashley Place, Victoria",2016-09-06 18:01:00.000000 UTC,,"Clifton Street, Shoreditch",1122,3501,0
57861790,1560,1560000,5620,,2016-08-31 18:12:00.000000 UTC,,"Palace Gate, Kensington Gardens",2016-08-31 17:46:00.000000 UTC,,"Cardinal Place, Victoria",1110,968,0
57974020,1560,1560000,8280,,2016-09-03 17:10:00.000000 UTC,,"Panton Street, West End",2016-09-03 16:44:00.000000 UTC,,"Belvedere Road, South Bank",3452,1186,0
57878703,1560,1560000,8962,,2016-09-01 08:14:00.000000 UTC,,"Theobald's Road , Holborn",2016-09-01 07:48:00.000000 UTC,,"Regent's Row , Haggerston",975,200064,1
57913833,1560,1560000,4328,,2016-09-01 21:23:00.000000 UTC,,"North Wharf Road, Paddington",2016-09-01 20:57:00.000000 UTC,,"Park Lane , Hyde Park",1108,1037,0
57895061,1560,1560000,3479,,2016-09-01 15:31:00.000000 UTC,,"Eccleston Place, Victoria",2016-09-01 15:05:00.000000 UTC,,"Eccleston Place, Victoria",3465,3465,0
57840153,1560,1560000,6945,,2016-08-31 08:43:00.000000 UTC,,"Newgate Street , St. Paul's",2016-08-31 08:17:00.000000 UTC,,"Hibbert Street, Battersea",1074,300051,1
57858376,1560,1560000,10125,,2016-08-31 17:29:00.000000 UTC,,"Vicarage Crescent, Battersea",2016-08-31 17:03:00.000000 UTC,,"South Wharf Road, Paddington",200077,1167,0
57851069,1560,1560000,11971,,2016-08-31 13:51:00.000000 UTC,,"Tate Modern, Bankside",2016-08-31 13:25:00.000000 UTC,,"Leonard Circus , Shoreditch",300237,1020,0
57850070,1560,1560000,12503,,2016-08-31 13:16:00.000000 UTC,,"Queen's Gate (North), Kensington",2016-08-31 12:50:00.000000 UTC,,"Hyde Park Corner, Hyde Park",1204,1075,0
57853363,1560,1560000,3054,,2016-08-31 15:09:00.000000 UTC,,"Swan Street, The Borough",2016-08-31 14:43:00.000000 UTC,,"Whitehall Place, Strand",1216,1151,0
58061792,1560,1560000,7358,,2016-09-06 17:58:00.000000 UTC,,"Riverlight North, Nine Elms",2016-09-06 17:32:00.000000 UTC,,"Queen Street 2, Bank",1165,200128,0
57849332,1560,1560000,2770,,2016-08-31 12:51:00.000000 UTC,,"Houndsditch, Aldgate",2016-08-31 12:25:00.000000 UTC,,"Finsbury Circus, Liverpool Street",200072,984,0
